,name,expLevel,trophies,role
0,Vortic,13,5544,member
1,KCG៛¤₪KauanFL₪¤,12,5388,member
2,Renato A.,13,5342,member
3,☆JOTTACLASH☆,12,5323,elder
4,Maves,13,5308,member
5,GéH BeLo,13,5306,coLeader
6,SPA Bmartiins,13,5300,member
7,Galo,12,5261,member
8,Maximus,13,5246,coLeader
9,Ishikawa_F,13,5242,elder
10,TyrionLannister,12,5214,member
11,⚔Fernando⚔,13,5109,member
12,◇GuILheRmiEazY◇,12,5065,elder
13,Jr. Fênix,13,5064,leader
14,Lucas Anzai,13,5054,member
15,SPA Amargedon,13,5051,member
16,Diogova\o/,12,5033,member
17,A.L.A.N,13,5033,member
18,Lord Balazic,12,5031,member
19,"""Maicon XT""",12,5026,member
20,paula,13,5008,member
21,lela,13,5008,coLeader
22,XxwilliangamexX,12,4980,member
23,lord fire,12,4979,member
24,rogeriohara,11,4969,member
25,Lincoln,11,4964,member
26,Zort,12,4960,member
27,RodolfoKaito,13,4941,member
28,::.Isaac.::,12,4921,member
29,Gleidson,12,4915,member
30,L&0n@rDo,12,4884,elder
31,⚡H E N R Y⚡,13,4857,elder
32,RB,13,4840,elder
33,L1Z4NDR0,13,4834,member
34,Edusvieira,13,4833,elder
35,dougparanagua,12,4813,member
36,THChmap,11,4779,elder
37,vem tranquilo ✌,11,4775,member
38,gunnar br,12,4747,member
39,Ezequiel thg,13,4709,coLeader
40,mutunzinho,12,4706,elder
41,Júnior tsedek,10,4692,member
42,Lúcifer,12,4678,member
43,F0nsek,10,4657,member
44,[BR] Zapparoli,13,4650,member
45,♦️♠️MeLiOdAs♥️♣,12,4632,member
46,anubyus,10,4490,member
47,itachi,10,4456,member
48,Theobaldo_br,13,4355,member
49,Enzo,10,4280,member
